x,y,dx_pix,dy_pix,u_kmh,v_kmh,speed_kmh,corr,corr_margin,height_km,qc_basic,qc_consistency,qc_final,du_error_kmh,dv_error_kmh,vector_error_kmh,u_true_kmh,v_true_kmh
22.0,22.0,3.317788236402715,-0.614981273470284,79.62691767366516,14.759550563286815,80.98327204453318,0.9913739840028719,0.0023925168875184033,6.71839513288509,False,False,False,4.228919499127386,3.564187875549308,5.530569169833473,75.39799817453778,11.195362687737507
38.0,22.0,3.8782302014602212,-0.5953183283451388,93.07752483504531,14.287639880283331,94.16773482869353,0.9863472923351534,0.0028234247116635247,8.443105348847508,False,False,False,-7.110685509370214,-1.8775057617130937,7.354378036138297,100.18821034441552,16.165145641996425
54.0,22.0,3.1476764673916824,-0.06833041372891897,75.54423521740038,1.6399299294940555,75.5620330904057,0.9965921294157638,0.0019899238112781603,7.609326282555742,False,False,False,-12.630572710444767,-0.5151988292078968,12.641075778091407,88.17480792784515,2.1551287587019523
70.0,22.0,2.317201817550546,0.8551836788044134,55.61284362121311,-20.52440829130592,59.279336293060254,0.9941876191889369,0.0024135315765292376,3.7582724482214855,False,False,False,0.24117548079006212,0.4370089985370562,0.49914174072769996,55.37166814042305,-20.961417289842977
102.0,22.0,2.895991731538526,0.6026001165568664,69.50380155692463,-14.462402797364794,70.9925314771743,0.9913435266540468,0.0020499785661224346,3.531385173436416,False,False,False,12.133973800141021,10.686404381678068,16.168876237737024,57.36982775678361,-25.148807179042862
118.0,22.0,2.838043087811351,0.5588976241357955,68.11303410747243,-13.413542979259091,69.42123990957043,0.9941965975445182,0.0013362485879349073,5.008282377180594,False,False,False,9.641059800709854,7.545023065614473,12.242442858413428,58.471974306762576,-20.958566044873564
134.0,22.0,2.5101569599433047,0.498968094131382,60.24376703863931,-11.975234259153169,61.42245275603572,0.984924961632374,4.0406958405347915e-05,3.489207918138881,False,False,False,5.964738233724454,4.1022480726606005,7.239236247457458,54.27902880491486,-16.07748233181377
150.0,22.0,2.9091749953483643,-0.030238942506312514,69.82019988836075,0.7257346201515004,69.82397155124833,0.9937760961050703,0.006964268874217527,3.847686142554592,False,False,False,14.299006448822581,7.944661616558526,16.357849297052717,55.521193439538166,-7.218926996407026
166.0,22.0,3.2680606956486535,-0.3390155991520978,78.43345669556768,8.136374379650347,78.85434494852723,0.9951318349476999,0.001673236162814895,6.256558145248638,False,False,False,11.354647495691296,2.3996581230742997,11.605446086172003,67.07880919987639,5.736716256576047
22.0,38.0,4.748346328725478,-1.0017214752717956,113.96031188941147,24.041315406523093,116.46861179050715,0.9961561781494133,0.0010115910386792049,11.081528965696974,False,False,False,3.410555130309845,-0.9398707745449961,3.53768898713929,110.54975675910163,24.98118618106809
38.0,38.0,4.907947365433536,-0.9138955238622953,117.79073677040486,21.93349257269509,119.81542373731054,0.995199554531888,0.004587244851916528,11.406033949987268,False,False,False,-12.527784790326677,-5.615914777817718,13.728943533442472,130.31852156073154,27.54940735051281
54.0,38.0,3.956340034136404,-0.1609085210982846,94.9521608192737,3.8618045063588307,95.03066020129793,0.9972093743726641,0.001807506253534985,9.844262979857545,False,False,False,-19.27130481892712,-7.725490805835011,20.762138560732247,114.22346563820082,11.587295312193842
70.0,38.0,2.829515098509,0.7530203144143999,67.908362364216,-18.0724875459456,70.27204625658788,0.995291897277084,0.00308112440505115,5.191676402304407,False,False,False,-4.7090134961111545,-2.3331302924220285,5.255312080930523,72.61737586032716,-15.73935725352357
86.0,38.0,2.808400380610022,0.8652801407042442,67.40160913464054,-20.76672337690186,70.52824762995053,0.9865427921152081,0.01299320940917148,3.145232514384196,False,False,False,4.3815032968475975,4.163981613371707,6.0445276090678925,63.02010583779294,-24.93070499027357
